"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","我的报名","0","0","4","0","0"
"","","实名绑卡","0","0","5","0","0"
"","","推荐任务详情","0","0","1","0","0"
"","","设置登录密码","0","0","2","0","0"
"","","","0","0","2","0","0"
"","","推荐任务","0","0","1","0","0"
"","","设置交易密码","0","0","3","0","0"
